Name,Branch,Year,CGPA, bool,div,Mob no.,Blood group,xyz,pqr
text0,branch0,2023-02-22 12:51:25.872774,34,True,text0,branch0,2023-02-22 12:51:25.872794,49,False
text1,branch1,2023-02-22 12:51:25.872801,46,False,text1,branch1,2023-02-22 12:51:25.872806,12,True
text2,branch2,2023-02-22 12:51:25.872810,26,True,text2,branch2,2023-02-22 12:51:25.872815,73,False
text3,branch3,2023-02-22 12:51:25.872820,12,True,text3,branch3,2023-02-22 12:51:25.872823,98,False
text4,branch4,2023-02-22 12:51:25.872828,60,False,text4,branch4,2023-02-22 12:51:25.872832,86,True
text5,branch5,2023-02-22 12:51:25.872836,69,False,text5,branch5,2023-02-22 12:51:25.872840,92,True
text6,branch6,2023-02-22 12:51:25.872845,15,True,text6,branch6,2023-02-22 12:51:25.872849,57,False
text7,branch7,2023-02-22 12:51:25.872853,81,True,text7,branch7,2023-02-22 12:51:25.872857,67,False
text8,branch8,2023-02-22 12:51:25.872860,73,False,text8,branch8,2023-02-22 12:51:25.872864,69,True
text9,branch9,2023-02-22 12:51:25.872868,11,True,text9,branch9,2023-02-22 12:51:25.872876,23,False
text10,branch10,2023-02-22 12:51:25.872881,39,True,text10,branch10,2023-02-22 12:51:25.872884,15,False
text11,branch11,2023-02-22 12:51:25.872888,78,True,text11,branch11,2023-02-22 12:51:25.872892,24,False
text12,branch12,2023-02-22 12:51:25.872896,93,True,text12,branch12,2023-02-22 12:51:25.872900,82,True
text13,branch13,2023-02-22 12:51:25.872904,77,True,text13,branch13,2023-02-22 12:51:25.872913,51,False
text14,branch14,2023-02-22 12:51:25.872920,100,True,text14,branch14,2023-02-22 12:51:25.872923,25,True
text15,branch15,2023-02-22 12:51:25.872928,30,False,text15,branch15,2023-02-22 12:51:25.872932,33,True
text16,branch16,2023-02-22 12:51:25.872936,64,False,text16,branch16,2023-02-22 12:51:25.872940,78,True
text17,branch17,2023-02-22 12:51:25.872945,41,True,text17,branch17,2023-02-22 12:51:25.872949,19,False
text18,branch18,2023-02-22 12:51:25.872953,25,False,text18,branch18,2023-02-22 12:51:25.872957,36,False
text19,branch19,2023-02-22 12:51:25.872962,18,False,text19,branch19,2023-02-22 12:51:25.872966,71,False
text20,branch20,2023-02-22 12:51:25.872969,13,False,text20,branch20,2023-02-22 12:51:25.872972,14,True
text21,branch21,2023-02-22 12:51:25.872977,24,True,text21,branch21,2023-02-22 12:51:25.872981,31,False
text22,branch22,2023-02-22 12:51:25.872985,93,True,text22,branch22,2023-02-22 12:51:25.872992,76,True
