Name,Branch,Year,CGPA, bool,div,Mob no.,Blood group,xyz,pqr
text0,branch0,2023-02-22 12:53:54.648086,42,True,text0,branch0,2023-02-22 12:53:54.648103,56,False
text1,branch1,2023-02-22 12:53:54.648107,50,True,text1,branch1,2023-02-22 12:53:54.648110,22,True
text2,branch2,2023-02-22 12:53:54.648113,98,True,text2,branch2,2023-02-22 12:53:54.648116,45,True
text3,branch3,2023-02-22 12:53:54.648118,37,True,text3,branch3,2023-02-22 12:53:54.648121,54,False
text4,branch4,2023-02-22 12:53:54.648123,86,True,text4,branch4,2023-02-22 12:53:54.648126,12,True
text5,branch5,2023-02-22 12:53:54.648128,55,True,text5,branch5,2023-02-22 12:53:54.648131,88,False
text6,branch6,2023-02-22 12:53:54.648133,96,True,text6,branch6,2023-02-22 12:53:54.648135,66,True
text7,branch7,2023-02-22 12:53:54.648137,48,False,text7,branch7,2023-02-22 12:53:54.648140,22,True
text8,branch8,2023-02-22 12:53:54.648142,93,False,text8,branch8,2023-02-22 12:53:54.648145,40,False
text9,branch9,2023-02-22 12:53:54.648147,31,False,text9,branch9,2023-02-22 12:53:54.648154,11,True
text10,branch10,2023-02-22 12:53:54.648158,77,False,text10,branch10,2023-02-22 12:53:54.648160,84,False
text11,branch11,2023-02-22 12:53:54.648163,49,False,text11,branch11,2023-02-22 12:53:54.648165,26,True
text12,branch12,2023-02-22 12:53:54.648167,21,False,text12,branch12,2023-02-22 12:53:54.648170,88,True
text13,branch13,2023-02-22 12:53:54.648172,87,True,text13,branch13,2023-02-22 12:53:54.648178,78,True
text14,branch14,2023-02-22 12:53:54.648180,93,False,text14,branch14,2023-02-22 12:53:54.648183,51,True
text15,branch15,2023-02-22 12:53:54.648185,48,True,text15,branch15,2023-02-22 12:53:54.648187,24,False
text16,branch16,2023-02-22 12:53:54.648190,42,True,text16,branch16,2023-02-22 12:53:54.648192,49,True
text17,branch17,2023-02-22 12:53:54.648195,85,True,text17,branch17,2023-02-22 12:53:54.648197,30,False
text18,branch18,2023-02-22 12:53:54.648200,37,False,text18,branch18,2023-02-22 12:53:54.648202,100,True
text19,branch19,2023-02-22 12:53:54.648204,66,False,text19,branch19,2023-02-22 12:53:54.648206,86,False
text20,branch20,2023-02-22 12:53:54.648209,58,True,text20,branch20,2023-02-22 12:53:54.648211,88,False
text21,branch21,2023-02-22 12:53:54.648213,33,False,text21,branch21,2023-02-22 12:53:54.648216,40,False
text22,branch22,2023-02-22 12:53:54.648221,12,False,text22,branch22,2023-02-22 12:53:54.648223,86,True
text23,branch23,2023-02-22 12:53:54.648225,57,True,text23,branch23,2023-02-22 12:53:54.648228,47,False
text24,branch24,2023-02-22 12:53:54.648231,90,False,text24,branch24,2023-02-22 12:53:54.648233,25,False
text25,branch25,2023-02-22 12:53:54.648236,53,True,text25,branch25,2023-02-22 12:53:54.648238,94,True
text26,branch26,2023-02-22 12:53:54.648240,73,True,text26,branch26,2023-02-22 12:53:54.648242,72,False
text27,branch27,2023-02-22 12:53:54.648245,74,True,text27,branch27,2023-02-22 12:53:54.648247,77,False
text28,branch28,2023-02-22 12:53:54.648250,93,True,text28,branch28,2023-02-22 12:53:54.648252,93,True
text29,branch29,2023-02-22 12:53:54.648254,92,False,text29,branch29,2023-02-22 12:53:54.648256,84,True
text30,branch30,2023-02-22 12:53:54.648259,68,True,text30,branch30,2023-02-22 12:53:54.648261,13,True
text31,branch31,2023-02-22 12:53:54.648263,18,True,text31,branch31,2023-02-22 12:53:54.648266,44,False
text32,branch32,2023-02-22 12:53:54.648269,41,True,text32,branch32,2023-02-22 12:53:54.648271,56,False
text33,branch33,2023-02-22 12:53:54.648277,91,False,text33,branch33,2023-02-22 12:53:54.648280,88,False
text34,branch34,2023-02-22 12:53:54.648282,27,True,text34,branch34,2023-02-22 12:53:54.648287,47,False
text35,branch35,2023-02-22 12:53:54.648290,21,True,text35,branch35,2023-02-22 12:53:54.648292,10,True
text36,branch36,2023-02-22 12:53:54.648294,73,True,text36,branch36,2023-02-22 12:53:54.648297,43,True
text37,branch37,2023-02-22 12:53:54.648299,92,False,text37,branch37,2023-02-22 12:53:54.648301,15,True
text38,branch38,2023-02-22 12:53:54.648304,35,True,text38,branch38,2023-02-22 12:53:54.648306,25,True
text39,branch39,2023-02-22 12:53:54.648308,81,False,text39,branch39,2023-02-22 12:53:54.648311,99,True
text40,branch40,2023-02-22 12:53:54.648313,68,True,text40,branch40,2023-02-22 12:53:54.648315,26,False
text41,branch41,2023-02-22 12:53:54.648318,43,False,text41,branch41,2023-02-22 12:53:54.648320,43,False
text42,branch42,2023-02-22 12:53:54.648323,16,False,text42,branch42,2023-02-22 12:53:54.648325,28,True
text43,branch43,2023-02-22 12:53:54.648327,17,True,text43,branch43,2023-02-22 12:53:54.648330,77,False
text44,branch44,2023-02-22 12:53:54.648333,50,False,text44,branch44,2023-02-22 12:53:54.648337,40,False
text45,branch45,2023-02-22 12:53:54.648339,61,False,text45,branch45,2023-02-22 12:53:54.648463,48,True
text46,branch46,2023-02-22 12:53:54.648466,38,False,text46,branch46,2023-02-22 12:53:54.648469,68,True
text47,branch47,2023-02-22 12:53:54.648471,98,True,text47,branch47,2023-02-22 12:53:54.648473,76,False
text48,branch48,2023-02-22 12:53:54.648475,46,False,text48,branch48,2023-02-22 12:53:54.648478,29,False
text49,branch49,2023-02-22 12:53:54.648480,67,False,text49,branch49,2023-02-22 12:53:54.648483,24,True
text50,branch50,2023-02-22 12:53:54.648485,67,True,text50,branch50,2023-02-22 12:53:54.648487,51,True
text51,branch51,2023-02-22 12:53:54.648489,41,True,text51,branch51,2023-02-22 12:53:54.648492,93,False
text52,branch52,2023-02-22 12:53:54.648494,77,False,text52,branch52,2023-02-22 12:53:54.648496,91,True
text53,branch53,2023-02-22 12:53:54.648499,60,False,text53,branch53,2023-02-22 12:53:54.648501,39,False
text54,branch54,2023-02-22 12:53:54.648503,52,True,text54,branch54,2023-02-22 12:53:54.648505,99,False
text55,branch55,2023-02-22 12:53:54.648508,48,True,text55,branch55,2023-02-22 12:53:54.648510,65,True
text56,branch56,2023-02-22 12:53:54.648512,97,False,text56,branch56,2023-02-22 12:53:54.648515,43,False
text57,branch57,2023-02-22 12:53:54.648517,86,False,text57,branch57,2023-02-22 12:53:54.648519,97,True
text58,branch58,2023-02-22 12:53:54.648521,43,False,text58,branch58,2023-02-22 12:53:54.648524,51,True
text59,branch59,2023-02-22 12:53:54.648526,37,False,text59,branch59,2023-02-22 12:53:54.648528,90,True
text60,branch60,2023-02-22 12:53:54.648530,70,False,text60,branch60,2023-02-22 12:53:54.648533,58,False
text61,branch61,2023-02-22 12:53:54.648535,12,False,text61,branch61,2023-02-22 12:53:54.648537,47,False
text62,branch62,2023-02-22 12:53:54.648539,15,False,text62,branch62,2023-02-22 12:53:54.648542,98,True
text63,branch63,2023-02-22 12:53:54.648544,57,False,text63,branch63,2023-02-22 12:53:54.648546,35,False
text64,branch64,2023-02-22 12:53:54.648548,100,False,text64,branch64,2023-02-22 12:53:54.648551,16,False
text65,branch65,2023-02-22 12:53:54.648553,37,True,text65,branch65,2023-02-22 12:53:54.648556,32,False
text66,branch66,2023-02-22 12:53:54.648558,81,True,text66,branch66,2023-02-22 12:53:54.648560,13,False
text67,branch67,2023-02-22 12:53:54.648563,16,True,text67,branch67,2023-02-22 12:53:54.648565,21,False
text68,branch68,2023-02-22 12:53:54.648567,71,True,text68,branch68,2023-02-22 12:53:54.648569,34,True
text69,branch69,2023-02-22 12:53:54.648572,29,True,text69,branch69,2023-02-22 12:53:54.648574,96,True
text70,branch70,2023-02-22 12:53:54.648576,19,True,text70,branch70,2023-02-22 12:53:54.648579,13,False
text71,branch71,2023-02-22 12:53:54.648581,66,False,text71,branch71,2023-02-22 12:53:54.648583,46,True
text72,branch72,2023-02-22 12:53:54.648586,40,True,text72,branch72,2023-02-22 12:53:54.648588,75,True
text73,branch73,2023-02-22 12:53:54.648591,57,False,text73,branch73,2023-02-22 12:53:54.648593,31,False
text74,branch74,2023-02-22 12:53:54.648595,62,True,text74,branch74,2023-02-22 12:53:54.648597,60,True
text75,branch75,2023-02-22 12:53:54.648600,39,True,text75,branch75,2023-02-22 12:53:54.648602,60,False
text76,branch76,2023-02-22 12:53:54.648604,74,False,text76,branch76,2023-02-22 12:53:54.648606,32,False
text77,branch77,2023-02-22 12:53:54.648609,34,False,text77,branch77,2023-02-22 12:53:54.648612,24,True
text78,branch78,2023-02-22 12:53:54.648614,18,True,text78,branch78,2023-02-22 12:53:54.648616,29,False
text79,branch79,2023-02-22 12:53:54.648618,39,False,text79,branch79,2023-02-22 12:53:54.648621,24,True
text80,branch80,2023-02-22 12:53:54.648623,82,True,text80,branch80,2023-02-22 12:53:54.648625,43,True
text81,branch81,2023-02-22 12:53:54.648627,44,False,text81,branch81,2023-02-22 12:53:54.648629,16,False
text82,branch82,2023-02-22 12:53:54.648631,19,False,text82,branch82,2023-02-22 12:53:54.648634,24,True
text83,branch83,2023-02-22 12:53:54.648636,28,True,text83,branch83,2023-02-22 12:53:54.648638,96,False
text84,branch84,2023-02-22 12:53:54.648641,66,True,text84,branch84,2023-02-22 12:53:54.648643,84,True
text85,branch85,2023-02-22 12:53:54.648645,81,False,text85,branch85,2023-02-22 12:53:54.648647,21,True
text86,branch86,2023-02-22 12:53:54.648649,84,False,text86,branch86,2023-02-22 12:53:54.648652,81,False
text87,branch87,2023-02-22 12:53:54.648654,11,True,text87,branch87,2023-02-22 12:53:54.648656,91,False
text88,branch88,2023-02-22 12:53:54.648658,98,False,text88,branch88,2023-02-22 12:53:54.648660,97,True
text89,branch89,2023-02-22 12:53:54.648663,45,False,text89,branch89,2023-02-22 12:53:54.648665,96,True
text90,branch90,2023-02-22 12:53:54.648667,25,False,text90,branch90,2023-02-22 12:53:54.648669,46,False
text91,branch91,2023-02-22 12:53:54.648672,62,True,text91,branch91,2023-02-22 12:53:54.648674,36,False
text92,branch92,2023-02-22 12:53:54.648677,91,True,text92,branch92,2023-02-22 12:53:54.648679,62,True
text93,branch93,2023-02-22 12:53:54.648681,22,False,text93,branch93,2023-02-22 12:53:54.648683,79,False
text94,branch94,2023-02-22 12:53:54.648686,80,False,text94,branch94,2023-02-22 12:53:54.648688,54,False
text95,branch95,2023-02-22 12:53:54.648690,93,True,text95,branch95,2023-02-22 12:53:54.648692,62,False
text96,branch96,2023-02-22 12:53:54.648694,79,True,text96,branch96,2023-02-22 12:53:54.648696,90,False
text97,branch97,2023-02-22 12:53:54.648699,16,False,text97,branch97,2023-02-22 12:53:54.648701,87,False
text98,branch98,2023-02-22 12:53:54.648703,71,False,text98,branch98,2023-02-22 12:53:54.648706,34,False
text99,branch99,2023-02-22 12:53:54.648708,16,False,text99,branch99,2023-02-22 12:53:54.648710,62,False
text100,branch100,2023-02-22 12:53:54.648713,97,True,text100,branch100,2023-02-22 12:53:54.648715,16,False
text101,branch101,2023-02-22 12:53:54.648718,25,False,text101,branch101,2023-02-22 12:53:54.648720,97,True
text102,branch102,2023-02-22 12:53:54.648722,88,True,text102,branch102,2023-02-22 12:53:54.648724,61,True
text103,branch103,2023-02-22 12:53:54.648727,20,False,text103,branch103,2023-02-22 12:53:54.648729,25,False
text104,branch104,2023-02-22 12:53:54.648731,53,True,text104,branch104,2023-02-22 12:53:54.648733,87,True
text105,branch105,2023-02-22 12:53:54.648736,27,False,text105,branch105,2023-02-22 12:53:54.648738,64,True
text106,branch106,2023-02-22 12:53:54.648740,87,False,text106,branch106,2023-02-22 12:53:54.648743,60,True
text107,branch107,2023-02-22 12:53:54.648745,20,False,text107,branch107,2023-02-22 12:53:54.648747,23,False
text108,branch108,2023-02-22 12:53:54.648750,85,False,text108,branch108,2023-02-22 12:53:54.648752,62,False
text109,branch109,2023-02-22 12:53:54.648755,11,False,text109,branch109,2023-02-22 12:53:54.648757,65,False
text110,branch110,2023-02-22 12:53:54.648759,14,True,text110,branch110,2023-02-22 12:53:54.648761,37,True
text111,branch111,2023-02-22 12:53:54.648763,78,False,text111,branch111,2023-02-22 12:53:54.648765,65,False
text112,branch112,2023-02-22 12:53:54.648768,90,True,text112,branch112,2023-02-22 12:53:54.648770,38,True
text113,branch113,2023-02-22 12:53:54.648772,60,False,text113,branch113,2023-02-22 12:53:54.648775,44,False
text114,branch114,2023-02-22 12:53:54.648777,14,False,text114,branch114,2023-02-22 12:53:54.648779,59,False
text115,branch115,2023-02-22 12:53:54.648781,71,True,text115,branch115,2023-02-22 12:53:54.648783,93,True
text116,branch116,2023-02-22 12:53:54.648786,99,True,text116,branch116,2023-02-22 12:53:54.648788,34,False
text117,branch117,2023-02-22 12:53:54.648790,80,True,text117,branch117,2023-02-22 12:53:54.648792,98,True
text118,branch118,2023-02-22 12:53:54.648795,96,False,text118,branch118,2023-02-22 12:53:54.648797,95,True
text119,branch119,2023-02-22 12:53:54.648799,12,True,text119,branch119,2023-02-22 12:53:54.648801,45,True
text120,branch120,2023-02-22 12:53:54.648804,98,True,text120,branch120,2023-02-22 12:53:54.648806,30,False
text121,branch121,2023-02-22 12:53:54.648808,78,True,text121,branch121,2023-02-22 12:53:54.648810,27,True
text122,branch122,2023-02-22 12:53:54.648813,97,True,text122,branch122,2023-02-22 12:53:54.648815,21,False
text123,branch123,2023-02-22 12:53:54.648817,65,True,text123,branch123,2023-02-22 12:53:54.648819,89,True
text124,branch124,2023-02-22 12:53:54.648822,43,True,text124,branch124,2023-02-22 12:53:54.648824,19,True
text125,branch125,2023-02-22 12:53:54.648826,63,False,text125,branch125,2023-02-22 12:53:54.648828,79,True
text126,branch126,2023-02-22 12:53:54.648837,25,False,text126,branch126,2023-02-22 12:53:54.648839,33,True
text127,branch127,2023-02-22 12:53:54.648842,11,True,text127,branch127,2023-02-22 12:53:54.648844,74,False
text128,branch128,2023-02-22 12:53:54.648846,79,True,text128,branch128,2023-02-22 12:53:54.648848,89,True
text129,branch129,2023-02-22 12:53:54.648851,92,False,text129,branch129,2023-02-22 12:53:54.648853,38,True
text130,branch130,2023-02-22 12:53:54.648856,51,True,text130,branch130,2023-02-22 12:53:54.648858,99,False
text131,branch131,2023-02-22 12:53:54.648861,26,False,text131,branch131,2023-02-22 12:53:54.648863,19,True
text132,branch132,2023-02-22 12:53:54.648865,28,True,text132,branch132,2023-02-22 12:53:54.648867,37,False
text133,branch133,2023-02-22 12:53:54.648870,11,False,text133,branch133,2023-02-22 12:53:54.648872,33,False
text134,branch134,2023-02-22 12:53:54.648874,81,False,text134,branch134,2023-02-22 12:53:54.648877,71,False
text135,branch135,2023-02-22 12:53:54.648879,44,False,text135,branch135,2023-02-22 12:53:54.648881,21,True
text136,branch136,2023-02-22 12:53:54.648884,33,False,text136,branch136,2023-02-22 12:53:54.648886,68,False
